-1 73091
stream uID   dID     length      uB     uBT    dB    dBT
237 2215	2206	42.957	31828	2	17493	1
238 2377	2215	1492.045	-1	-1	31828	2
239 2278	2377	1143.365	17500	1	-1	-1
240 2263	2278	512.646	-1	-1	17500	1
241 2284	2263	567.175	17469	1	-1	-1
242 2285	2284	103.956	17497	1	17469	1
243 2271	2285	416.048	-1	-1	17497	1
244 2253	2263	173.448	17491	1	-1	-1
245 2195	2253	807.542	17485	1	17491	1
246 2185	2195	190.023	17477	1	17485	1
247 2177	2185	87.59	-1	-1	17477	1
248 2664	2377	2507.59	-1	-1	-1	-1
249 2081	2141	606.547	-1	-1	-1	-1
250 2055	2081	641.983	17486	1	-1	-1
251 2045	2055	340.44	17487	1	17486	1
252 2065	2045	2047.616	17508	1	17487	1
253 2064	2065	29.106	-1	-1	17508	1
254 1997	2081	1014.343	17498	1	-1	-1
255 1966	1997	326.146	-1	-1	17498	1
256 2085	2130	367.936	-1	-1	-1	-1
257 2159	2101	588.276	17488	1	-1	-1
258 2216	2159	452.517	29873	2	17488	1
259 2264	2216	418.317	17472	1	29873	2
260 2400	2264	987.32	-1	-1	17472	1
261 1890	1843	1286.899	17470	1	-1	-1
262 2015	1890	2242.131	17473	1	17470	1
263 2087	2015	875.608	-1	-1	17473	1
264 2103	2087	153.965	17482	1	-1	-1
265 2188	2103	628.976	17465	1	17482	1
266 2210	2188	261.751	-1	-1	17465	1
267 2360	2210	1183.679	17478	1	-1	-1
268 2481	2360	1094.712	17492	1	17478	1
269 2505	2481	195.565	-1	-1	17492	1
270 2521	2505	210.829	-1	-1	-1	-1
271 2523	2505	117.881	17464	1	-1	-1
272 2571	2523	750.767	-1	-1	17464	1
273 2598	2571	324.176	17489	1	-1	-1
274 2623	2598	278.6	17484	1	17489	1
275 2625	2623	80.312	30611	2	17484	1
276 2675	2625	568.768	-1	-1	30611	2
277 2646	2571	738.663	30612	2	-1	-1
278 2662	2646	180.745	-1	-1	30612	2
279 2222	2210	283.627	17466	1	-1	-1
280 2233	2222	554.306	17471	1	17466	1
281 2236	2233	96.167	30613	2	17471	1
282 2293	2236	868.679	-1	-1	30613	2
283 2395	2293	1016.953	-1	-1	-1	-1
284 2517	2395	918.103	-1	-1	-1	-1
285 2428	2395	387.602	18000	1	-1	-1
286 2429	2428	80.709	-1	-1	18000	1
287 2369	2293	1043.61	17958	1	-1	-1
288 2349	2369	998.129	31831	2	17958	1
289 2373	2349	403.552	-1	-1	31831	2
290 2500	2373	1042.669	31969	2	-1	-1
291 2550	2500	997.33	21876	1	31969	2
292 2585	2550	471.637	-1	-1	21876	1
293 2370	2373	335.536	18003	1	-1	-1
294 2458	2370	1243.299	17971	1	18003	1
295 2549	2458	1055.919	-1	-1	17971	1
296 2155	2087	2632.495	-1	-1	-1	-1
297 1676	1678	30.022	17462	1	-1	-1
298 1566	1676	1948.316	-1	-1	17462	1
299 1573	1566	260.643	17476	1	-1	-1
300 1562	1573	289.862	17509	1	17476	1
301 1542	1562	361.582	-1	-1	17509	1
302 1547	1566	151.123	17475	1	-1	-1
303 1406	1547	1866.625	-1	-1	17475	1
304 1608	1626	219.613	17467	1	-1	-1
305 1548	1608	582.746	17504	1	17467	1
306 1545	1548	31.291	30452	2	17504	1
