16834 9053	8848	1335.957	-1	-1	22530	1
16683 8809	8847	200.757	31134	2	-1	-1
16806 8787	8847	274.385	8591	1	-1	-1
16692 8532	8531	26.732	8544	1	-1	-1
16696 8350	8531	831.265	8542	1	-1	-1
13743 23075	22992	412.981	28711	1	30280	2
13066 16439	16438	6.881	31435	2	19557	1
11631 11852	11848	37.984	-1	-1	24375	1
16724 7656	7669	345.98	13151	1	13158	1
16889 7589	7668	656.994	13170	1	7656	1
17991 7649	7661	126.597	-1	-1	-1	-1
17992 7600	7661	430.957	4569	1	-1	-1
16800 7641	7666	366.941	13146	1	13131	1
12090 11770	11843	437.984	-1	-1	5815	1
11962 11861	11842	185.308	17423	1	17426	1
14926 18577	18536	270.349	-1	-1	4744	1
13152 17105	17130	163.538	19539	1	-1	-1
13165 17169	17130	380.217	19563	1	-1	-1
13334 22501	22489	76.486	-1	-1	-1	-1
13566 22376	22489	608.958	-1	-1	-1	-1
14494 22511	22488	75.486	2300	1	24799	1
14148 21656	21537	353.68	-1	-1	-1	-1
14155 21578	21537	242.698	-1	-1	-1	-1
12507 16400	16381	70.283	-1	-1	-1	-1
12551 16370	16381	526.442	-1	-1	-1	-1
12362 14515	14471	185.657	-1	-1	-1	-1
12371 14483	14471	260.604	-1	-1	-1	-1
15836 14596	14473	456.365	-1	-1	26645	1
12198 14516	14475	173.513	19171	1	-1	-1
12232 14507	14475	137.791	19130	1	-1	-1
15883 11126	11116	42.716	12061	1	12094	1
17832 8539	8714	1188.228	-1	-1	-1	-1
17854 8421	8714	1758.777	4592	1	-1	-1
17831 8714	8718	11.985	-1	-1	8763	1
12736 13615	13843	1160.302	-1	-1	-1	-1
12748 13671	13843	1406.934	-1	-1	-1	-1
11802 13844	13842	17.958	-1	-1	-1	-1
11803 13839	13842	52.94	-1	-1	-1	-1
18217 11746	11762	967.752	-1	-1	-1	-1
18218 11673	11762	560.388	-1	-1	-1	-1
13208 17119	17135	121.773	19504	1	19488	1
13247 19049	18648	3239.64	-1	-1	-1	-1
14925 18536	18648	508.03	4744	1	-1	-1
16693 8533	8532	7.828	8619	1	8544	1
15842 11728	11763	225.239	-1	-1	1474	1
13726 21660	22001	1141.58	-1	-1	28692	1
12268 14410	14348	354.126	-1	-1	-1	-1
12269 14424	14348	492.989	-1	-1	-1	-1
17175 5737	5718	142.716	21522	1	21524	1
11750 12648	12660	197.999	17397	1	17429	1
17091 5603	5614	228.043	-1	-1	21498	1
18039 7885	7887	5.999	4547	1	4601	1
17029 5734	5714	178.904	7683	1	7648	1
14397 20725	20746	876.215	-1	-1	21636	1
13876 25528	25425	797.692	-1	-1	-1	-1
13884 25259	25425	1631.231	-1	-1	-1	-1
14661 23163	23266	368.739	-1	-1	24824	1
14554 23123	23265	739.337	24841	1	24826	1
13749 23269	23260	26.677	2961	1	30410	2
15892 11566	11560	9.447	12072	1	1359	1
15848 11568	11561	640.647	12051	1	12050	1
15918 11556	11563	312.168	-1	-1	12058	1
14552 23306	23268	1018.348	24838	1	24856	1
13750 23271	23269	9.394	3124	1	2961	1
14885 20668	20743	683.764	20375	1	20403	1
13486 22237	22249	350.457	-1	-1	-1	-1
13534 22147	22249	280.436	-1	-1	-1	-1
13491 22289	22240	242.458	-1	-1	-1	-1
13492 22217	22240	101.384	-1	-1	-1	-1
14721 25068	25040	301.689	11296	1	11304	1
14711 25150	25044	427.959	-1	-1	-1	-1
14712 25151	25044	1277.096	-1	-1	-1	-1
11654 11825	11812	528.884	24376	1	24350	1
16446 9514	9523	737.355	-1	-1	22506	1
16978 6690	6779	1365.845	-1	-1	7698	1
16957 6840	6772	775.037	-1	-1	7696	1
16435 10072	9960	541.628	22499	1	22497	1
16240 9948	9963	121.355	22487	1	22510	1
14767 24616	24589	262.822	3246	1	11293	1
13856 24945	24886	330.435	-1	-1	31912	2
15658 16254	16234	592.828	-1	-1	-1	-1
15671 16087	16234	964.69	-1	-1	-1	-1
11700 12038	12039	45.639	-1	-1	-1	-1
11927 12017	12039	121.055	-1	-1	-1	-1
11673 12077	12033	251.45	-1	-1	-1	-1
18206 12021	12033	379.819	9369	1	-1	-1
16551 9483	9503	386.204	-1	-1	-1	-1
16554 9360	9503	1186.004	-1	-1	-1	-1
16460 9484	9501	128.683	22517	1	22521	1
16660 9598	9506	987.727	-1	-1	31058	2
16661 9533	9506	832.795	-1	-1	31058	2
14861 21513	21639	318.039	24835	1	24870	1
14852 21569	21632	172.314	30647	2	24810	1
14840 21623	21631	54.339	24882	1	24855	1
14591 23923	23835	886.094	11282	1	11261	1
14660 23266	23343	524.276	24824	1	-1	-1
14664 23327	23343	227.929	13889	1	-1	-1
13098 16632	16743	1308.897	26292	1	26264	1
17221 4984	5059	926.166	10811	1	-1	-1
17223 4914	5059	1067.9	10812	1	-1	-1
13742 22992	22814	766.549	30280	2	28701	1
17484 5006	5050	493.714	-1	-1	22107	1
15518 19111	19096	153.205	4718	1	-1	-1
15520 19245	19096	1191.9	-1	-1	-1	-1
13661 21924	21925	50.654	-1	-1	-1	-1
13662 22012	21925	429.007	-1	-1	-1	-1
13660 21925	21922	68.526	-1	-1	-1	-1
13663 21965	21922	337.381	-1	-1	-1	-1
11833 14659	14641	81.49	31658	2	22825	1
15114 18912	18897	334.852	-1	-1	-1	-1
15115 18877	18897	88.151	-1	-1	-1	-1
12765 15066	14863	1161.696	19141	1	-1	-1
